 -> 1554871109793813
lucas.amaral@globo.com -> 35257
plaintext1 -> 38932
3 -> 18641
lugar -> 31924
cargo -> 32431
3 -> 18759
lugar -> 19065
cargo -> 32500
3 -> 22080
lugar -> 35027
cargo -> 32551
3 -> 18791
lugar -> 19010
cargo -> 29429
3 -> 18656
lugar -> 31849
cargo -> 35619
3 -> 18798
lugar -> 35076
cargo -> 35912
3 -> 18839
lugar -> 34982
cargo -> 32299
3 -> 18708
lugar -> 19195
cargo -> 32369
3 -> 18796
lugar -> 24321
cargo -> 36835
3 -> 18830
lugar -> 19063
cargo -> 35651
3 -> 18755
lugar -> 35117
cargo -> 32446
3 -> 18721
lugar -> 19164
cargo -> 32482
3 -> 18608
lugar -> 16016
cargo -> 38891
3 -> 15494
lugar -> 60789
cargo -> 39648
3 -> 17898
lugar -> 22339
cargo -> 42128
3 -> 18668
lugar -> 35187
cargo -> 32379
3 -> 18736
lugar -> 31993
cargo -> 29250
3 -> 18708
lugar -> 28775
cargo -> 32443
3 -> 18707
lugar -> 28745
cargo -> 32645
3 -> 18478
lugar -> 32020
cargo -> 39042
sair -> 18693
