 -> 1561603076655523
1 -> 1101
Psicologia -> 4622
1 -> 1046
Psicologia -> 2617
1 -> 1207
Psicologia -> 13157
1 -> 1110
Psicologia -> 2300
1 -> 1188
Psicologia -> 2408
1 -> 1397
Psicologia -> 2383
1 -> 972
Psicologia -> 1814
1 -> 1017
Psicologia -> 2191
1 -> 1131
Psicologia -> 1954
1 -> 982
Psicologia -> 2146
1 -> 1015
Psicologia -> 2040
1 -> 1149
Psicologia -> 2699
1 -> 965
Psicologia -> 1992
1 -> 1147
Psicologia -> 2980
1 -> 1038
Psicologia -> 2340
1 -> 1693
Psicologia -> 2199
1 -> 1082
Psicologia -> 2425
1 -> 1136
Psicologia -> 2355
1 -> 1175
Psicologia -> 1863
1 -> 1022
Psicologia -> 2081
7 -> 973
